Execution Started Process 1 to 11
Execution Started Process 1 to 11
Execution Started Process 1 to 11
Execution Started Process 1 to 11
10/12/22 20:00:25,1,10,1437.328045129776,9,0,1
10/12/22 20:25:19,11,10,1493.6472518444061,3,6,1
Execution Started Process 1 to 11
<<<<<<< HEAD
10/13/22 00:05:05,1,10,1322.4567241668701,9,0,1
10/13/22 00:58:37,11,10,3212.1024131774902,3,4,3
=======
Execution Started Process 1 to 11
10/13/22 00:17:29,1,10,2120.551508665085,9,0,1
10/13/22 01:23:31,11,10,3961.9299523830414,3,4,3
>>>>>>> c2c9d198dfa2c9f644e16146dcd3ead0ffc757c7
