Execution Started Process 41 to 51
Execution Started Process 41 to 51
Execution Started Process 41 to 51
Execution Started Process 41 to 51
10/12/22 20:06:42,41,10,1814.4348893165588,0,6,4
10/12/22 20:22:42,51,10,960.2716090679169,0,6,4
Execution Started Process 41 to 51
<<<<<<< HEAD
10/12/22 23:55:03,41,10,720.8913609981537,0,0,10
10/13/22 00:06:39,51,10,696.4291489124298,0,1,9
=======
Execution Started Process 41 to 51
10/13/22 00:26:45,41,10,2676.84294462204,0,1,9
10/13/22 01:08:44,51,10,2518.6367728710175,0,3,7
>>>>>>> c2c9d198dfa2c9f644e16146dcd3ead0ffc757c7
