Date Time,Ghost Number,Maze Number,Time Taken,Survived,Hanged,Died,Comments
Execution Started Process 1 to 21
Date Time,Ghost Number,Maze Number,Time Taken,Survived,Hanged,Died,Comments
Execution Started Process 1 to 21
10/12/22 18:39:27,1,10,1488.1021020412445,9,0,1
Execution Started Process 1 to 21
