Date Time,Ghost Number,Maze Number,Time Taken,Survived,Hanged,Died,Comments
Execution Started Process 31 to 51
Date Time,Ghost Number,Maze Number,Time Taken,Survived,Hanged,Died,Comments
Execution Started Process 31 to 51
10/12/22 18:37:12,31,10,1353.1337406635284,0,9,1
Execution Started Process 31 to 51
